College Name,Branch,OPEN neutal,OPEN female,OPEN(PWD),EWS neutral,EWS female,EWS(PWD),OBC neutral,OBC female,OBC(PWD),SC neutal,SC female,SC(PWD),ST neutral,ST female,ST(PWD)
Indian Institute of Technology Bhubaneswar,Civil Engineering,13317,21121,,2105,3815,,5138,8530,,2562,4293,,977,1750
Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,3454,7457,197,415,1025,,1225,2661,31,596,1313,30P,356,649,
Indian Institute of Technology Bhubaneswar,Electrical Engineering,6643,14183,262P,1151,2249,,2868,6491,,1674,2081,,792,1179,
Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,5017,10376,59,734,1431,,1990,3729,,1239,1915,,538,910,
Indian Institute of Technology Bhubaneswar,Engineering Physics,10179,17730,,1755,,,4378,9267,,2104,4096,,1160,,
Indian Institute of Technology Bhubaneswar,Mechanical Engineering,9533,18435,172,1489,2781,,3764,7801,,2221,3892,,1035,1735,
Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,13863,20995,,2170,3242,,5284,9228,,2774,4396,,1223,602P,
Indian Institute of Technology Bombay,Aerospace Engineering,2394,6360,44,618,1409,,1470,3442,62,658,1493,,471,424,
Indian Institute of Technology Bombay,BS in Mathematics,1191,4101,139,360,1490,,1291,3479,,545,1438,,247,,
Indian Institute of Technology Bombay,Chemical Engineering,2529,6650,153,485,1438,,1337,3118,64,783,1498,,413,742,
Indian Institute of Technology Bombay,Chemistry,7065,11262,193,1338,2285,,3506,7570,,1936,3101,,1036,1498,
Indian Institute of Technology Bombay,Civil Engineering,3987,8833,151,769,2005,36P,1979,4709,53P,998,1986,,331,623,
Indian Institute of Technology Bombay,Computer Science and Engineering,68,421,3,23,79,3,50,274,2,32,71,1,13,40,1
Indian Institute of Technology Bombay,Economics,2400,4123,144,412,920,,1255,2705,,722,373,,222,714,
Indian Institute of Technology Bombay,Electrical Engineering,464,1303,30,116,455,21,318,791,23,171,368,10P,79,176,
Indian Institute of Technology Bombay,Energy Engineering,2257,5537,184,568,1691,,1650,3824,61P,990,1673,,669,1473,
Indian Institute of Technology Bombay,Engineering Physics,1569,3629,156,567,1410,,1552,2854,106P,763,2347,11P,682,1047,
Indian Institute of Technology Bombay,Environmental Science and Engineering, 4718,9292,219P,1060,2019,,2716,5973,,1267,1874  
Indian Institute of Technology Bombay,Industrial Engineering and Operations Research,1726,4762,63,303,706,,1196,3817,,999,1052,,351,1404,
Indian Institute of Technology Bombay,Mechanical Engineering, 1685,4172,152,340,1319,32P,942,2722,23P,476,1066,,309,516, 
Indian Institute of Technology Bombay,Metallurgical Engineering and Materials Science,4175,8491,263P,907,1723,,2136,5594,,1369,2276,,641,1251,
Indian Institute of Technology Mandi,B.Tech in General Engineering,10181,18004,,1590,3230,,4664,8700,,2555,4116,,1400,,
Indian Institute of Technology Mandi,B.Tech in Materials Science and Engineering,13000,21466,,2143,3873,,5464,9256,,2787,4427,,1416,,
Indian Institute of Technology Mandi,B.Tech in Mathematics and Computing,3964,7886,,671,1517,,1767,4641,118P,1086,1940,,678,,
Indian Institute of Technology Mandi,B.Tech in Microelectronics & VLSI,5467,11152,,969,2281,,2914,6353,,1751,3313,,1096,,
Indian Institute of Technology Mandi,Bio Engineering,13153,21077,,2215,3790,,5494,,,3050,4477,,1499,,
Indian Institute of Technology Mandi,BS in Chemical Sciences,15365,22121,,2353,4093,,5884,,3161,4482,,1493,,,
Indian Institute of Technology Mandi,Civil Engineering,11505,21013,,1947,3738,,4705,8938,,2525,4097,,795,1526,
Indian Institute of Technology Mandi,Computer Science and Engineering,2909,6667,178,454,1058,25P,1269,3578,104P,737,1732,,371,870,
Indian Institute of Technology Mandi,Data Science and Engineering,3843,8610,52P,595,1164,,1679,4056,,943,1897,,615,983,
Indian Institute of Technology Mandi,Electrical Engineering,6714,12502,,1071,2091,,2930,6975,,1650,3151,,833,1632,
Indian Institute of Technology Mandi,Engineering Physics,9750,19337,,1924,3601,,4809,9047,,2631,4406,,1342,,
Indian Institute of Technology Mandi,Mechanical Engineering,8962,18772,,1496,3386,,4027,8450,,2084,3923,,974,201P,
Indian Institute of Technology Delhi,Biotechnology and Biochemical Engineering,4819,9721,229P,1026,2341,,2747,6727,,1536,2673,
Indian Institute of Technology Delhi,Chemical Engineering,221,5060,140,474,1358,,1281,3412,,655,1348,,481,771,
Indian Institute of Technology Delhi,Civil Engineering,4158,9288,159,778,1972,,2045,5280,124P,852,1937,,188,312,
Indian Institute of Technology Delhi,Computer Science and Engineering,116,556,5,35,145,,89,394,3,50,102,2,23,52,3
Indian Institute of Technology Delhi,Electrical Engineering,622,1826,54,156,554,27,412,1382,18,224,547,,95,205,6P
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation),810,2462,70,214,700,,493,1837,28,288,829,,159,345,
Indian Institute of Technology Delhi,Energy Engineering,2646,6523,115P,565,1137,,1896,4393,,1092,2231,,645,1481,
Indian Institute of Technology Delhi,Engineering and Computational Mechanics,1194,3381,,307,1000,,640,2151,43,407,840,,245,562,
Indian Institute of Technology Delhi,Engineering Physics,2449,7030,112P,715,2137,,1915,4096,,1104,2766,,746,1016,
Indian Institute of Technology Delhi,Materials Engineering,3787,9398,386P,886,2233,,2455,6191,,1408,2545,,813,1341,
Indian Institute of Technology Delhi,Mathematics and Computing,332,1240,25,74,417,12,213,757,11,161,470,3,97,55,
Indian Institute of Technology Delhi,Mechanical Engineering,1774,5487,35,387,1114,11P,1010,3346,41,500,1329,,310,408,
Indian Institute of Technology Delhi,Production and Industrial Engineering,3089,8448,,722,1734,,2172,5945,,1335,2391,,810,1159,
Indian Institute of Technology Delhi,Textile Technology,6028,11415,,1139,2605,,3184,7737,,1780,2889,,991,1538,
Indian Institute of Technology Indore,Chemical Engineering,7519,15687,164P,1321,2385,,3468,6965,,1871,2786,,922,1642,
Indian Institute of Technology Indore,Civil Engineering,9410,17255,,1458,2775,,3932,7272,,1866,3731,,631,1363,
Indian Institute of Technology Indore,Computer Science and Engineering,1354,4069,57,212,716,22,611,1468,16,329,728,12P,168,154,
Indian Institute of Technology Indore,Electrical Engineering,3642,6953,270P,619,1579,38P,1637,4047,,997,1704,,467,656,1
Indian Institute of Technology Indore,Engineering Physics,6814,15115,,1402,,,3618,8144,,2070,4048,,1173,,
Indian Institute of Technology Indore,Mathematics and Computing,
Indian Institute of Technology Indore,Mechanical Engineering,
Indian Institute of Technology Indore,Metallurgical Engineering and Materials Science,
Indian Institute of Technology Indore,Space Sciences and Engineering,
Indian Institute of Technology Kharagpur,Aerospace Engineering,
Indian Institute of Technology Kharagpur,Agricultural and Food Engineering,
Indian Institute of Technology Kharagpur,Applied Geology,
Indian Institute of Technology Kharagpur,Artificial Intelligence,
Indian Institute of Technology Kharagpur,Biotechnology and Biochemical Engineering,
Indian Institute of Technology Kharagpur,Chemical Engineering,
Indian Institute of Technology Kharagpur,Chemistry,
Indian Institute of Technology Kharagpur,Civil Engineering,
Indian Institute of Technology Kharagpur,Computer Science and Engineering,
Indian Institute of Technology Kharagpur,Economics,
Indian Institute of Technology Kharagpur,Electrical Engineering,
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering,
Indian Institute of Technology Kharagpur,Exploration Geophysics,
Indian Institute of Technology Kharagpur,Industrial and Systems Engineering,
Indian Institute of Technology Kharagpur,Instrumentation Engineering,
Indian Institute of Technology Kharagpur,Manufacturing Science and Engineering,
Indian Institute of Technology Kharagpur,Mathematics and Computing,
Indian Institute of Technology Kharagpur,Mechanical Engineering,
Indian Institute of Technology Kharagpur,Metallurgical and Materials Engineering,
Indian Institute of Technology Kharagpur,Mining Engineering,
Indian Institute of Technology Kharagpur,Ocean Engineering and Naval Architecture,
Indian Institute of Technology Kharagpur,Physics ,
Indian Institute of Technology Hyderabad,Artificial Intelligence,
Indian Institute of Technology Hyderabad,Biomedical Engineering,
Indian Institute of Technology Hyderabad,Biotechnology and Bioinformatics,
Indian Institute of Technology Hyderabad,Chemical Engineering,
Indian Institute of Technology Hyderabad,Civil Engineering,
Indian Institute of Technology Hyderabad,Computational Engineering,
Indian Institute of Technology Hyderabad,Computer Science and Engineering,
Indian Institute of Technology Hyderabad,Electrical Engineering,
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology),
Indian Institute of Technology Hyderabad,Engineering Physics,
Indian Institute of Technology Hyderabad,Engineering Science,
Indian Institute of Technology Hyderabad,Industrial Chemistry,
Indian Institute of Technology Hyderabad,Materials Science and Metallurgical Engineering,
Indian Institute of Technology Hyderabad,Mathematics and Computing,
Indian Institute of Technology Hyderabad,Mechanical Engineering,
Indian Institute of Technology Jodhpur,Artificial Intelligence and Data Science,
Indian Institute of Technology Jodhpur,Bio Engineering,
Indian Institute of Technology Jodhpur,Chemical Engineering,







